name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed
,,,,,,claudia mellenthin,Claudia Mellenthin,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,clémence david,Clémence David,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,clément tanvet,Clément Tanvet,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,colin b josephson,Colin B Josephson,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,constance bertrand,Constance Bertrand,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,cornelia schneider,Cornelia Schneider,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,craig w vander kooi,Craig W Vander Kooi,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,cristina lecchi,Cristina Lecchi,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,curtis l cetrulo,Curtis L Cetrulo,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,dabu zhu,Dabu Zhu,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,dale w porter,Dale W Porter,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,damai santosa,Damai Santosa,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,damian hutter,Damian Hutter,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,dan song,Dan Song,Case Report: Nursing strategies for colon cancer surgery in third-trimester pregnancy.,2025.0,PubMed
,,,,,,dandan pan,Dandan Pan,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
,,,,,,daniel bass,Daniel Bass,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,daniela herdliczko,Daniela Herdliczko,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,daoyuan xie,Daoyuan Xie,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,darragh duffy,Darragh Duffy,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,darrell crawford,Darrell Crawford,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,darren r lebl,Darren R Lebl,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,david j leffell,David J Leffell,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,david r bickers,David R Bickers,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,dazhi chen,Dazhi Chen,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,de-qiang gao,De-Qiang Gao,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,debbie l shawcross,Debbie L Shawcross,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,debora angrisani,Debora Angrisani,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,debottam sinha,Debottam Sinha,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,deirdre harford,Deirdre Harford,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,denis nevrov,Denis Nevrov,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,derek b allison,Derek B Allison,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,desta fekedulegn,Desta Fekedulegn,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,dilip kumar mandal,Dilip Kumar Mandal,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed
,,,,,,dirk elston,Dirk Elston,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,dmitry bagrov,Dmitry Bagrov,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,dmitry bespiatykh,Dmitry Bespiatykh,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,dong xu,Dong Xu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,dong-hyun kim,Dong-Hyun Kim,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,dongbei guo,Dongbei Guo,,2025.0,PubMed
,,,,,,dora lai-wan kwong,Dora Lai-Wan Kwong,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,douglas tremblay,Douglas Tremblay,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,duaa abu arqoub,Duaa Abu Arqoub,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,duaa sabbah,Duaa Sabbah,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,edgar balcázar-lópez,Edgar Balcázar-López,,2025.0,PubMed
,,,,,,edoardo ferlazzo,Edoardo Ferlazzo,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,edward christopher dee,Edward Christopher Dee,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,edward w gregg,Edward W Gregg,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,egor shitikov,Egor Shitikov,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,ehab e sharata,Ehab E Sharata,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,eisha pandey,Eisha Pandey,,2025.0,PubMed
,,,,,,elad tako,Elad Tako,Impact of anthocyanin-rich fruits on the modulation of inflammation and oxidative stress in the gut-liver axis: a systematic review of ,2025.0,PubMed
,,,,,,eleanor demmons,Eleanor Demmons,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,elisa buchberger,Elisa Buchberger,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,elizabeth bowdridge,Elizabeth Bowdridge,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,elizabeth m billingsley,Elizabeth M Billingsley,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,ellie m macdonald,Ellie M MacDonald,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,elnaz shaseb,Elnaz Shaseb,Comparative incidence of peripheral neuropathy associated with taxane chemotherapy in patients with breast cancer: A network meta-analysis.,2025.0,PubMed
,,,,,,elsa vazquez arreola,Elsa Vazquez Arreola,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,emma wallace,Emma Wallace,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,enrico brunetti,Enrico Brunetti,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,eric kelly,Eric Kelly,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,eric koza,Eric Koza,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,erica c heinrich,Erica C Heinrich,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,erik moore,Erik Moore,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed
,,,,,,erin jay g feliciano,Erin Jay G Feliciano,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,ernst a wimmer,Ernst A Wimmer,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,ervin h epstein,Ervin H Epstein,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,eslam al-abadi,Eslam Al-Abadi,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,esraa eloseily,Esraa Eloseily,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,etienne simon-lorière,Etienne Simon-Lorière,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,eugene v koonin,Eugene V Koonin,Spatial-temporal genome analysis and its application for the prediction of functional systems in bacteria and archaea.,2025.0,PubMed
,,,,,,evanguelos xylinas,Evanguelos Xylinas,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,evelyn dennis álvarez-velázquez,Evelyn Dennis Álvarez-Velázquez,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,fabien schaller,Fabien Schaller,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,faheem ullah,Faheem Ullah,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,fahimeh ghasemi,Fahimeh Ghasemi,Enhancing drug repositioning: A multi-class ensemble model for drug-target interaction prediction with action type categorization.,2025.0,PubMed
,,,,,,fan zheng,Fan Zheng,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,fangzhou jing,Fangzhou Jing,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,faramarz h samie,Faramarz H Samie,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,farnaz dinizadeh,Farnaz Dinizadeh,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
,,,,,,fatima alaba mohammed,Fatima Alaba Mohammed,Antidiabetic Activity of Amaranthus hybridus Leaf-based Diet in High-fat Diet and Streptozotocin-induced Diabetic Rats.,2025.0,PubMed
,,,,,,fatima javed,Fatima Javed,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,fedan avrumova,Fedan Avrumova,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,felix guerrero-ramos,Felix Guerrero-Ramos,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,feng shi,Feng Shi,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,fergus p mccarthy,Fergus P McCarthy,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,feyisayo olalere,Feyisayo Olalere,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,filomena morisco,Filomena Morisco,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,fionn o'leary,Fionn O'Leary,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,florian gothe,Florian Gothe,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,franca bucco paolasso,Franca Bucco Paolasso,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,frances dominique v ho,Frances Dominique V Ho,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,francesco brigo,Francesco Brigo,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,francesco longobardi,Francesco Longobardi,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,frank p cammisa,Frank P Cammisa,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,franziska c s altorfer,Franziska C S Altorfer,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,frederic ivan l ting,Frederic Ivan L Ting,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,gabriel neves cezarette,Gabriel Neves Cezarette,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,gabrielle a cassagne,Gabrielle A Cassagne,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,gaspare salvi,Gaspare Salvi,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,gaute t einevoll,Gaute T Einevoll,Predicting neural responses to intra- and extra-cranial electric brain stimulation by means of the reciprocity theorem.,2025.0,PubMed
,,,,,,gautier marcq,Gautier Marcq,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,geoffrey k isbister,Geoffrey K Isbister,The effect of decontamination and elimination in large acute lithium overdoses.,2025.0,PubMed
,,,,,,geoffrey m scriver,Geoffrey M Scriver,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,gianfranca stornaiuolo,Gianfranca Stornaiuolo,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,gillian i rice,Gillian I Rice,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,gin-gin gan,Gin-Gin Gan,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,giovanni valente,Giovanni Valente,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,giuseppe loggia,Giuseppe Loggia,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,grace c wester,Grace C Wester,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,grant schulert,Grant Schulert,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,gregor bucher,Gregor Bucher,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,guang fan,Guang Fan,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,guangwei li,Guangwei Li,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,guangyu li,Guangyu Li,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed
,,,,,,guanting lu,Guanting Lu,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,guixia wu,Guixia Wu,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,guofeng xu,Guofeng Xu,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,géraldine labouret,Géraldine Labouret,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,h christiaan stronks,H Christiaan Stronks,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,hai huang,Hai Huang,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
,,,,,,hai-xia zhang,Hai-Xia Zhang,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
,,,,,,hai-yan li,Hai-Yan Li,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,haimeng yin,Haimeng Yin,Drp1 Interaction with BIP Maintains Mitochondrial Dynamic Equilibrium to Promote Anoikis Resistance and Metastasis in Nasopharyngeal Carcinoma.,2025.0,PubMed
,,,,,,haksrun lao,Haksrun Lao,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
,,,,,,hamsa priya bhuchakra,Hamsa Priya Bhuchakra,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed
,,,,,,haolu wang,Haolu Wang,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,haotian yang,Haotian Yang,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,hasan yigit,Hasan Yigit,Investigation of Clinical and Laboratory Findings of 40-49-Year-Old Patients with Fatty Pancreas by Magnetic Resonance Imaging and Evaluation of the Potential Relationship with Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD).,2025.0,PubMed
,,,,,,hatice demir,Hatice Demir,Investigation of Clinical and Laboratory Findings of 40-49-Year-Old Patients with Fatty Pancreas by Magnetic Resonance Imaging and Evaluation of the Potential Relationship with Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD).,2025.0,PubMed
,,,,,,haviva goldman,Haviva Goldman,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,haïzam oubari,Haïzam Oubari,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,heike roth,Heike Roth,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,heloise reumaux,Heloise Reumaux,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,hiroaki itoh,Hiroaki Itoh,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,hirokazu takahasi,Hirokazu Takahasi,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,hirotake murakami,Hirotake Murakami,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,holly f lofton,Holly F Lofton,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,hong yuan,Hong Yuan,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,hong-sheng lin,Hong-Sheng Lin,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,hong-xiang lou,Hong-Xiang Lou,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
,,,,,,hongfei zhou,Hongfei Zhou,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,hongliang liu,Hongliang Liu,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,hongshan li,Hongshan Li,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,hongwei li,Hongwei Li,,2025.0,PubMed
,,,,,,hongxiaoying yu,Hongxiaoying Yu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,hongxin deng,Hongxin Deng,Intratumoral microbiome: a crucial regulating factor in development and progression of colorectal cancer.,2025.0,PubMed
,,,,,,hongya han,Hongya Han,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,horacio pérez-sánchez,Horacio Pérez-Sánchez,Enhancing drug repositioning: A multi-class ensemble model for drug-target interaction prediction with action type categorization.,2025.0,PubMed
,,,,,,houda ben ayed,Houda Ben Ayed,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,houwen wang,Houwen Wang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
,,,,,,howraman meteran,Howraman Meteran,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,hua yang,Hua Yang,Intratumoral microbiome: a crucial regulating factor in development and progression of colorectal cancer.,2025.0,PubMed
,,,,,,hubert preissl,Hubert Preissl,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,huiming ye,Huiming Ye,Differential Functions of Membrane-bound and Soluble TNF-α in Regulating Trophoblasts Invasion and Migration.,2025.0,PubMed
,,,,,,hujiaabudula buweialiye,Hujiaabudula Buweialiye,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,hukam c rawal,Hukam C Rawal,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,humza a pirzadah,Humza A Pirzadah,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,hélène maillard,Hélène Maillard,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,ian strohbehn,Ian Strohbehn,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,idir ouzaid,Idir Ouzaid,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,imjai chitapanarux,Imjai Chitapanarux,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,ingrid berling,Ingrid Berling,The effect of decontamination and elimination in large acute lithium overdoses.,2025.0,PubMed
,,,,,,irene esposito,Irene Esposito,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,isadora de jesus da silva,Isadora de Jesus da Silva,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,ivanna romankevych,Ivanna Romankevych,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,j richelyn baclay,J Richelyn Baclay,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,jacques cadranel,Jacques Cadranel,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,james fan wu,James Fan Wu,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,james kim,James Kim,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed
